Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
VictorBraune,803333006,627,374,38,615,Victor Braune,9/4/12 22:23,fr,46.2984009,6.1700802,Mies,FDP,1
hunger_stefan,2186225504,77,29,4,31,Stefan Hunger,11/10/13 11:54,de,47.3099096,8.7215715,Mönchaltorf,BDP,1
PDCMonthey,393324023,135,101,0,73,PDC Monthey-Choëx,10/18/11 11:06,fr,46.2564234,6.9571672,Monthey,CVP,1
PLRMonthey,475800870,71,66,0,8,PLR Monthey,1/27/12 13:08,fr,46.2564234,6.9571672,Monthey,FDP,1
RomainPilloudVD,396782468,1265,459,161,797,Romain Pilloud,10/23/11 19:21,fr,46.4360031,6.9102754,Montreux,SP,1
BoschettiSteen,327334911,8588,1157,264,1149,Boschetti Steen,7/1/11 11:51,fr,46.5186996,6.52285,Morges,BDP,1
gempepas,33345832,125,214,0,284,Pascal Gemperli,4/19/09 23:51,fr,46.5152627,6.4929214,Morges,GPS,1
vertsmorges,242917488,2510,394,3,399,Les Verts de Morges,1/25/11 22:09,fr,46.5152627,6.4929214,Morges,GPS,1
phclement2011,266371399,2,2,0,1,Philippe Clément,3/15/11 3:39,fr,46.62502,7.08517,Morlon,FDP,1
Kaeser_Stoll_SO,286596817,43,42,0,103,in Nationalrat CH,4/23/11 9:20,de,47.3410453,7.7030184,Mümliswil-Ramiswil,SVP,1
AdilKoller,379782290,684,343,408,304,Adil Koller,9/25/11 15:11,de,47.5187946,7.6139179,Münchenstein,SP,1
FelixBossel,441243288,579,111,15,113,Felix Bossel,12/19/11 22:03,de,47.5187946,7.6139179,Münchenstein,SP,1
FilipWinzap,345276349,475,244,15,363,Filip Winzap,7/30/11 9:46,de,47.5187946,7.6139179,Münchenstein,BDP,1
mfilliger,273056878,2,7,2,9,Manfed Filliger,3/27/11 18:53,de,47.4811369,8.9964398,Münchwilen,GLP,1
samdemure,2244881500,2,9,0,9,Samuel Rouiller,12/26/13 14:50,fr,46.279256,6.924319,Muraz,RL,1
JusoHase,911127294,92,141,17,110,Jonas Hasenfratz,10/28/12 21:20,de,47.2752,8.33757,Muri,SP,1
OxelSuarez,323890862,32,31,19,214,Oxel Suarez,6/25/11 16:21,fr,46.928408,7.116332,Murten,SP,1
SteRossini63,1907301103,40,686,0,657,Rossini Stéphane,9/26/13 9:18,fr,46.186708,7.305101,Nendaz,SP,1
FaBongiovanni,1010521207,15,124,0,118,Fabio Bongiovanni,12/14/12 6:08,fr,46.9929793,6.9319325,Neuchatel,FDP,1
hurnib,70925530,30,230,0,119,Baptiste Hurni,9/2/09 9:37,fr,46.9813004,6.8958101,Neuchatel,SP,1
JeunesVertsNE,1288082028,33,116,0,111,Jeunes Vert-e-s NE,3/22/13 8:09,fr,46.9929793,6.9319325,Neuchatel,GPS,1
jsneuch,398083183,678,412,5,1145,JSN,10/25/11 15:11,fr,46.9929793,6.9319325,Neuchatel,SP,1
JUDC_NE,898464751,191,102,0,23,Jeunes UDC Neuchâtel,10/22/12 21:27,fr,46.9929793,6.9319325,Neuchatel,SVP,1
l_muhlemann,720549679,1262,516,32,1992,Loïc Muhlemann,7/27/12 17:31,fr,46.9929793,6.9319325,Neuchatel,SP,1
LauraPerret2,1272294386,38,45,0,139,Laura Perret,3/16/13 13:11,fr,46.9929793,6.9319325,Neuchatel,SP,1
LeoKienholz,424345392,543,162,279,277,Léo Kienholz,11/29/11 17:20,fr,46.9929793,6.9319325,Neuchatel,FDP,1
LFBerset,615174718,835,636,585,474,Laurent Berset,6/22/12 13:33,fr,46.9929793,6.9319325,Neuchatel,GLP,1
Mike_Cortese_,1712369012,947,143,473,371,Mike Cortese,8/30/13 10:25,fr,46.9929793,6.9319325,Neuchatel,FDP,1
PBD_NE,1273632908,84,141,2,172,PBD Neuchâtel,3/17/13 0:21,fr,46.9929793,6.9319325,Neuchatel,BDP,1
PDCNE,268147391,0,30,0,1,PDC Neuchâtel,3/18/11 7:01,fr,46.9929793,6.9319325,Neuchatel,CVP,1
PDCnM,1191067772,8,4,0,9,PDCnM,2/17/13 20:28,fr,46.9813004,6.8958101,Neuchatel,CVP,1
PEV_NE,288701947,0,0,0,1,PEV-NE,4/27/11 9:39,fr,46.9929793,6.9319325,Neuchatel,EVP,1
RaymondeWicky,52101350,2258,560,1677,735,Raymonde Wicky,6/29/09 16:14,fr,46.9929793,6.9319325,Neuchatel,SP,1
RGrandjean,419785958,90,237,4,275,Raphaël Grandjean,11/23/11 19:51,fr,46.9929793,6.9319325,Neuchatel,GLP,1
VertLiberauxNE,869582846,225,138,0,179,Les Vert'libéraux,10/9/12 9:52,fr,46.9929793,6.9319325,Neuchatel,GLP,1
VertsNE,523326143,22,127,0,32,Les Verts NE,3/13/12 14:40,fr,46.9813004,6.8958101,Neuchatel,GPS,1
